serial_no,race,education,income,gender,age
0000117,47,14,095000,1,37
0000117,47,12,000000,2,37
0000117,47,02,,2,08
0000117,47,02,,1,05
0000127,47,13,072000,2,37
0000134,47,15,150000,1,43
0000134,47,14,070000,2,43
0000134,47,06,000400,1,18
0000134,47,04,,2,14
0000195,47,09,017300,1,59
0000195,47,09,009000,2,49
0000218,47,06,038700,2,32
0000218,47,04,,2,12
0000218,47,03,,2,10
0000218,47,02,,1,07
0000410,47,13,140000,1,47
0000410,47,13,007000,2,45
0000410,47,06,000000,1,17
0000410,47,04,,1,14
0000436,47,13,086000,1,40
0000436,47,13,000000,2,33
0000436,47,02,,1,09
0000436,47,02,,2,07
0000574,37,09,000000,2,77
0000591,47,02,000000,2,78
0000609,47,04,027100,1,64
0000609,47,08,027000,2,60
0000609,47,09,012000,2,39
0000609,47,05,000000,1,16
0000609,47,04,,1,14
0000609,47,02,,2,09
0000718,47,10,040000,2,50
0000740,37,11,000000,1,50
0000764,47,11,000000,1,80
0000764,47,14,000000,2,85
0000786,47,13,082000,1,56
0000786,71,09,000340,2,52
0000802,47,10,026400,1,26
0000802,01,12,000000,2,27
0000802,01,00,,2,01
0000968,47,13,034000,2,37
0000968,47,13,048000,1,34
0001014,47,14,075000,2,62
0001033,47,09,000000,1,52
0001033,47,13,049800,2,53
0001086,47,13,085000,2,36
0001086,47,02,,1,08
0001193,47,12,044400,1,52
0001193,47,12,034200,2,47
0001208,47,09,000000,2,40
0001208,47,11,081000,1,33
0001281,47,09,000000,2,83
0001350,47,13,000000,1,50
0001427,47,10,000000,2,85
0001611,47,13,026000,1,63
0001665,47,14,005100,2,36
0001665,47,13,072000,1,35
0001665,47,01,,1,03
0001665,47,00,,2,00
0001668,47,10,042000,2,46
0001668,47,09,032000,2,22
0001668,37,01,,2,03
0001809,47,09,000000,2,78
0001854,10,03,000000,2,59
0002046,37,09,011700,2,36
0002046,37,03,,1,11
0002046,37,02,,1,06
0002140,47,09,003200,1,60
0002140,47,09,000000,1,57
0002312,37,06,000000,1,68
0002409,47,13,000870,1,59
0002409,47,09,017000,2,55
0002409,47,11,005800,2,20
0002412,47,09,000000,1,60
0002421,37,10,031000,2,49
0002446,47,13,008800,2,63
0002446,47,14,000000,1,66
0002446,47,11,006200,2,57
0002473,47,15,075000,1,51
0002473,47,12,035000,2,50
0002473,47,12,000270,2,20
0002518,01,05,021000,1,20
0002518,01,04,015600,1,24
0002518,01,04,015600,1,23
0002518,01,06,015600,1,21
0002518,01,04,018700,1,22
0002530,47,09,000000,1,37
0002530,47,10,000000,2,35
0002530,47,02,,1,10
0002530,47,02,,2,06
0002592,47,11,050000,1,46
0002592,47,11,026000,2,49
0002619,37,09,030000,1,34
0002623,47,16,000000,1,71
0002623,47,09,012600,2,67
0002644,47,13,000000,1,76
0002644,47,09,000000,2,79
0002795,47,09,000000,1,85
0002795,47,09,000000,2,85
0002894,47,09,039100,1,66
0002894,47,09,039000,2,62
0002984,47,05,000000,1,74
0002984,47,09,000000,2,69
0003132,47,13,035000,2,45
0003132,47,13,045000,1,47
0003132,47,04,,2,14
0003132,47,02,,1,11
0003132,47,01,,1,05
0003142,47,09,000000,2,67
0003308,01,09,008000,2,27
0003308,47,01,,2,08
0003308,47,02,,1,07
0003308,47,00,,1,01
0003308,47,05,005600,1,28
0003308,47,06,000000,2,21
0003461,47,13,100000,1,41
0003461,47,13,000000,2,39
0003461,47,04,,1,13
0003461,47,02,,1,11
0003461,47,02,,1,08
0003467,47,09,029500,1,57
0003467,47,11,029600,2,56
0003513,47,07,000000,2,73
0003513,47,12,000000,2,37
0003636,47,09,055000,1,32
0003636,47,15,031600,2,37
0003640,47,09,000000,2,79
0003710,47,14,056000,1,53
0003710,47,14,034000,2,52
0003776,47,08,016000,1,72
0003776,47,12,000000,2,73
0003847,47,13,000000,1,62
0003847,47,14,043700,2,60
0003849,47,09,034000,2,41
0003970,47,16,000000,1,89
0004007,47,10,050000,1,44
0004007,47,12,019000,2,42
0004007,47,05,000000,2,15
0004007,47,04,,1,12
0004110,47,13,055000,1,42
0004110,47,09,004800,2,39
0004110,47,02,,1,06
0004145,47,08,000000,2,88
0004163,47,13,025000,2,57
0004238,37,08,011400,1,69
0004238,37,11,041500,2,59
0004248,47,09,000000,2,79
0004248,47,14,065000,2,48
0004370,47,10,000000,1,24
0004370,47,13,035000,2,23
0004370,47,09,045000,1,35
0004376,47,09,020000,2,40
0004376,47,09,000000,1,31
0004376,47,09,000000,2,67
0004925,47,09,000000,2,83
0004968,47,11,019500,2,51
0004968,47,11,006000,2,22
0005115,47,07,000000,1,73
0005115,47,09,000000,2,70
0005156,47,12,027600,2,49
0005156,47,09,000000,1,30
0005206,47,09,004000,2,33
0005206,47,02,,2,10
0005206,47,02,,2,08
0005303,47,11,023000,2,43
0005303,47,10,070000,1,45
0005303,47,03,,1,11
0005304,47,13,064000,1,50
0005304,47,09,000000,2,49
0005304,47,14,010000,2,23
