serial_no,race,education,income,gender,age
0000117,37,09,014000,2,24
0000117,37,01,,2,03
0000117,37,09,000000,1,56
0000127,47,09,010000,2,50
0000195,47,09,032000,1,42
0000195,47,05,003000,2,34
0000195,47,06,000600,2,18
0000195,47,03,,2,13
0000195,47,03,,1,12
0000218,37,09,018200,1,49
0000218,37,09,010900,2,48
0000246,47,11,040000,1,58
0000246,47,05,000000,2,57
0000410,37,11,006200,1,23
0000436,47,11,015000,2,34
0000436,47,05,015000,1,34
0000436,47,05,000000,2,15
0000436,47,01,,2,09
0000574,37,06,001600,2,38
0000574,37,05,000000,2,16
0000574,37,04,000000,2,15
0000574,37,03,,2,14
0000574,37,05,,2,12
0000574,37,04,,2,12
0000574,37,03,,2,12
0000584,37,09,000000,1,36
0000591,37,10,010800,1,73
0000591,37,05,000000,2,67
0000591,37,08,016000,1,49
0000591,37,11,000000,2,35
0000591,37,11,000000,1,24
0000609,32,10,000000,2,64
0000609,32,11,015000,1,45
0000609,32,11,007000,2,39
0000609,32,04,,1,13
0000609,32,02,,1,06
0000718,47,09,024800,1,57
0000718,47,11,025200,2,58
0000718,47,09,010500,2,26
0000740,47,13,000000,2,77
0000764,47,11,023000,2,62
0000764,47,11,024000,1,35
0000786,47,09,024000,1,43
0000786,47,04,000000,2,42
0000786,47,04,,1,13
0000786,47,02,,2,09
0000786,47,05,035900,1,22
0000802,47,09,014000,1,19
0000802,01,15,010000,2,21
0000802,01,01,,1,04
0000802,01,00,,1,01
0000968,47,11,000000,1,42
0000968,47,11,021400,2,42
0000968,47,11,000000,2,18
0000968,47,05,,2,14
0000968,47,05,,2,14
0000968,47,02,,1,07
0001014,47,09,000000,2,72
0001014,47,04,000000,1,79
0001086,47,09,000000,1,77
0001086,47,10,009200,2,68
0001102,37,11,000000,1,23
0001193,47,04,000000,1,65
0001193,47,05,027800,1,16
0001193,47,09,000000,2,49
0001193,47,07,000000,1,39
0001208,32,04,000000,1,60
0001208,32,03,000000,2,54
0001208,32,09,010000,2,37
0001208,32,07,000000,2,34
0001208,32,09,000000,1,18
0001208,32,05,000000,2,15
0001281,47,04,000000,1,58
0001281,47,09,015100,2,50
0001281,47,02,,2,09
0001281,47,07,000000,2,18
0001350,47,09,000000,2,66
0001350,47,09,005500,1,30
0001427,47,05,000000,1,66
0001427,47,09,000000,1,23
0001427,47,09,000000,1,55
0001427,47,03,000000,1,93
0001611,47,09,012700,1,71
0001611,47,10,000000,2,63
0001665,47,09,000000,1,45
0001665,47,10,021000,2,50
0001668,47,09,004900,1,46
0001668,47,10,032000,2,43
0001854,47,09,012000,2,24
0001854,47,10,000600,1,21
0001854,47,02,,1,08
0002140,47,08,015000,2,52
0002140,47,05,039000,1,53
0002140,47,09,000000,1,17
0002312,37,11,046000,2,50
0002312,37,13,008500,2,22
0002312,37,04,,1,13
0002409,47,09,000000,2,64
0002409,47,05,000000,1,32
0002412,47,09,012500,2,60
0002421,37,10,000000,2,18
0002421,37,10,004000,2,19
0002446,37,13,050000,1,46
0002446,37,13,010000,2,41
0002446,37,04,,1,14
0002473,37,11,049000,1,57
0002473,37,14,037000,2,42
0002473,37,07,000000,1,18
0002518,37,11,000000,2,81
0002518,37,11,000000,1,56
0002518,37,11,000000,1,44
0002518,37,11,030000,1,41
0002530,47,11,000000,1,69
0002530,47,09,000000,2,64
0002568,47,10,000900,1,48
0002568,47,10,000000,2,48
0002568,47,02,,1,08
0002592,47,13,032000,2,34
0002592,47,01,,1,09
0002592,47,01,,1,03
0002592,47,12,025000,1,41
0002619,47,11,010200,2,35
0002623,37,11,011500,2,41
0002644,37,14,029000,1,58
0002644,37,11,023000,2,54
0002656,37,10,022000,2,52
0002689,37,02,000000,2,74
0002689,37,04,000000,1,83
0002689,37,09,000000,1,42
