serial_no,race,education,income,gender,age
0000046,47,09,038000,1,36
0000046,47,09,008400,2,42
0000046,47,06,004000,2,18
0000046,47,01,,1,05
0000105,66,09,000000,1,50
0000117,47,12,080000,1,27
0000127,47,13,005000,1,50
0000127,47,11,022000,2,52
0000127,47,07,002500,1,18
0000127,47,06,001200,2,16
0000134,37,10,006200,2,24
0000134,37,02,,2,03
0000141,47,09,000000,2,83
0000195,47,15,000000,2,32
0000195,47,15,052000,1,39
0000195,47,02,,1,03
0000195,47,00,,2,01
0000218,47,12,000000,1,84
0000218,47,09,000000,2,75
0000246,47,14,078000,1,34
0000246,47,10,039900,2,33
0000246,47,02,,1,03
0000246,47,00,,1,00
0000322,47,13,039000,2,26
0000376,47,11,095000,1,38
0000376,47,12,000000,2,38
0000376,47,02,,2,09
0000376,47,02,,2,05
0000376,47,00,,1,02
0000391,47,10,002000,2,19
0000410,47,12,084000,1,42
0000410,47,12,000000,2,37
0000410,47,02,,1,09
0000410,47,02,,2,05
0000436,47,13,038600,2,63
0000436,47,11,030000,1,36
0000465,47,14,050000,2,49
0000483,47,10,080000,1,54
0000483,47,10,003900,2,50
0000486,47,13,085000,1,49
0000486,47,09,017000,2,47
0000486,47,04,000000,1,16
0000486,47,04,,1,14
0000486,47,03,,2,12
0000574,47,09,019000,2,56
0000574,47,11,010000,1,62
0000584,47,15,000000,1,41
0000584,47,13,045000,2,42
0000584,47,02,,2,06
0000584,47,02,,1,04
0000584,47,00,,2,01
0000591,47,12,038000,1,31
0000609,47,14,030600,1,34
0000718,47,09,011000,1,34
0000718,47,09,016000,2,28
0000718,47,00,,1,00
0000740,48,09,015000,1,46
0000740,48,09,000000,2,45
0000740,48,09,007500,1,24
0000740,48,10,015000,2,19
0000764,47,12,000000,2,88
0000786,01,11,037500,1,44
0000786,47,09,055000,2,43
0000786,01,06,001400,1,17
0000797,47,09,000000,2,78
0000802,47,09,035000,1,28
0000802,47,09,034500,2,35
0000863,47,13,026000,1,23
0000863,47,13,035000,1,24
0000863,47,13,015000,1,22
0000883,01,09,000000,2,34
0000883,37,02,,1,09
0000883,37,01,,2,04
0000883,37,00,,1,01
0000883,37,08,000000,1,25
0000968,47,09,030000,2,47
0000968,47,11,041000,1,50
0001014,47,09,000000,2,80
0001033,47,09,025000,1,25
0001033,47,12,020000,2,21
0001070,47,12,030000,1,22
0001070,47,10,008000,2,20
0001102,47,09,000000,2,73
0001102,47,08,000000,1,67
0001150,47,09,050000,1,41
0001150,47,10,028000,2,40
0001150,47,10,006900,2,17
0001150,47,09,003400,2,71
0001184,47,12,000000,1,66
0001184,47,07,000000,2,68
0001193,47,12,038300,2,57
0001208,47,07,000000,1,78
0001208,47,14,000000,2,65
0001208,47,10,020000,2,39
0001208,47,09,023000,1,35
0001281,47,11,000000,2,82
0001324,47,09,037500,1,36
0001324,47,09,002800,2,43
0001324,47,03,,2,12
0001324,47,05,000000,1,17
0001324,47,03,,2,13
0001324,47,01,,1,07
0001324,47,09,000000,2,87
0001324,47,01,000000,1,60
0001326,47,06,030100,2,56
0001326,47,06,037000,1,67
0001350,47,12,013000,2,21
0001427,47,12,018000,2,25
0001427,37,12,020000,1,27
0001611,47,09,000000,2,81
0001611,47,13,000000,1,42
0001623,47,11,000000,1,46
0001643,47,04,005400,1,46
0001643,47,04,005800,2,44
0001643,47,05,009000,2,22
0001643,47,03,,2,13
0001643,47,10,021000,1,23
0001643,47,09,000000,2,18
0001665,47,09,000000,2,59
0001665,47,13,003300,1,22
0001665,47,10,009600,2,20
0001668,47,09,028000,1,50
0001668,47,13,025000,2,46
0001809,47,14,069000,1,39
0001809,47,14,048000,2,40
0001809,47,02,,2,06
0001809,47,01,,1,04
0001809,47,00,,2,02
0001814,47,13,057000,1,28
0001854,47,04,000000,2,87
0001884,47,09,055000,1,61
0001884,47,09,040000,2,63
0001884,47,12,033000,2,29
0001889,47,05,000000,2,73
0001906,37,09,018000,2,53
0001906,37,07,000000,1,30
0001906,37,07,000000,1,26
0001906,37,11,000000,2,20
0001906,37,09,000000,2,18
0001906,47,11,011000,2,19
0001906,37,04,,1,14
0002046,47,10,050000,1,54
0002046,47,13,080000,2,48
0002069,47,13,006000,1,43
0002069,47,13,012400,2,37
0002069,47,02,,1,05
0002069,47,00,,1,01
0002089,47,05,000000,1,82
0002089,47,04,000000,2,72
0002140,47,14,027000,2,35
0002312,47,13,000000,2,57
0002409,47,09,019000,1,22
0002409,47,10,003000,2,22
0002409,47,00,,2,02
0002409,47,00,,2,00
0002412,47,10,002000,1,19
0002421,47,16,075000,1,30
0002421,47,14,025000,2,31
0002446,47,06,000000,2,86
0002502,47,15,075000,2,29
0002502,47,15,068000,1,31
0002518,47,10,014500,1,51
0002518,47,10,022000,2,46
0002530,47,14,073000,2,45
0002530,47,02,,2,11
0002530,47,13,046000,1,43
0002568,47,11,035000,2,46
0002592,47,04,000000,2,85
0002619,47,09,000000,1,77
0002619,47,09,000000,2,68
0002623,47,09,035000,2,34
0002623,47,09,030000,1,36
0002623,47,03,,1,12
0002637,47,09,020000,1,32
0002644,47,11,051000,1,62
0002644,47,09,040000,2,60
0002656,47,13,003100,2,65
0002676,37,12,053000,1,41
0002676,37,00,,2,00
0002676,37,02,,1,08
0002676,37,03,,2,11
0002676,37,11,005000,2,33
0002682,37,09,009000,2,46
0002682,37,06,000000,1,16
0002682,37,04,,1,13
0002682,37,03,,2,11
0002689,47,14,095000,1,55
0002689,47,12,000000,2,54
0002689,47,06,002000,2,17
0002689,47,13,030000,1,65
0002689,47,06,000000,1,17
0002699,47,09,011400,1,40
0002728,47,09,000000,1,46
0002728,47,09,000000,2,43
0002728,47,09,000720,2,18
0002795,47,13,090000,1,41
0002795,47,13,005000,2,42
0002795,47,10,005000,1,19
0002795,47,05,000000,2,16
0002815,47,11,150000,1,53
0002815,47,10,058000,2,53
0002815,47,05,000000,1,16
0002845,47,13,046000,1,29
0002845,12,13,000000,2,26
0002845,48,14,036000,2,23
0002857,47,09,000000,2,76
0002894,47,13,037000,1,36
0002894,47,07,030000,1,29
0002894,47,14,036500,2,25
0002909,37,09,021000,2,30
0002909,37,02,,2,09
0002984,47,14,000000,1,73
0002984,47,14,000000,2,81
0003006,47,09,000000,2,83
0003025,37,09,020200,2,36
0003025,37,09,000460,2,17
0003132,47,11,010000,1,54
0003132,47,11,023200,2,58
0003142,48,09,007000,2,40
0003142,48,09,022000,1,40
0003142,48,03,,1,11
0003143,47,09,018000,2,59
0003286,47,12,058000,1,52
0003286,47,09,010700,2,49
0003286,47,09,014000,2,19
0003286,47,09,003700,2,18
0003286,47,09,000000,2,81
0003308,47,16,016500,1,86
0003319,47,04,000000,2,19
0003352,47,10,032000,2,45
0003352,47,06,002700,1,17
0003352,47,03,,1,12
0003352,47,09,000000,1,71
0003352,47,13,000000,2,71
0003419,47,08,023900,2,52
0003461,47,05,000000,2,22
0003461,47,02,,2,04
0003461,47,00,,1,00
0003461,47,07,017000,1,22
0003467,37,08,025000,1,62
0003467,37,08,004000,1,32
0003513,47,01,000000,1,60
0003585,47,13,021100,2,31
0003585,47,12,015500,1,29
0003636,47,16,310000,1,39
0003636,47,05,016000,2,36
