serial_no,race,education,income,gender,age
0000117,37,14,068000,1,48
0000117,37,14,050000,2,40
0000117,37,03,,1,11
0000117,37,02,,1,05
0000127,47,09,000000,1,27
0000127,47,09,001000,2,22
0000127,47,01,,1,04
0000127,47,00,,2,00
0000134,47,13,000000,2,22
0000218,37,10,021600,2,39
0000218,37,09,000000,1,18
0000218,37,06,000000,2,16
0000410,47,13,072000,1,36
0000410,47,13,043000,2,33
0000410,47,02,,1,08
0000410,47,02,,1,05
0000436,37,09,021000,1,34
0000436,37,09,014000,2,34
0000436,37,02,,1,08
0000574,37,08,012400,2,28
0000574,37,07,000000,1,27
0000584,47,09,054000,1,53
0000584,47,14,037000,2,48
0000584,47,12,014000,1,22
0000591,37,14,038000,1,51
0000591,37,03,000000,1,15
0000718,47,09,000000,1,84
0000718,47,09,000000,2,87
0000740,47,11,000000,1,68
0000740,47,09,000000,2,64
0000764,37,09,000000,1,59
0000764,37,06,000000,2,57
0000764,37,06,000000,1,22
0000786,37,10,020000,2,25
0000786,37,02,006000,1,45
0000802,37,09,000000,2,36
0000802,37,07,000000,2,16
0000802,37,02,,2,07
0000968,37,05,000000,1,64
0000968,37,07,013000,2,47
0000968,37,08,000000,2,18
0000968,37,02,,1,10
0001014,47,04,000000,2,78
0001033,47,11,000000,1,44
0001033,47,06,000000,2,45
0001086,47,09,042000,1,37
0001086,66,09,010000,2,33
0001086,47,01,,1,05
0001208,47,11,025000,1,58
0001208,47,14,040200,2,57
0001281,47,05,000000,2,82
0001350,47,13,026000,1,29
0001350,47,12,025000,2,27
0001350,47,00,,2,02
0001427,47,13,000000,1,70
0001427,47,13,009000,2,54
0001668,37,10,011100,2,25
0001668,37,00,,2,02
0001668,37,09,005800,1,30
0001809,47,02,000000,1,69
0001809,47,06,006000,2,18
0001854,47,05,006700,2,38
0001854,47,03,,1,13
0002046,47,12,016000,2,26
0002046,47,02,,1,05
0002409,47,11,022000,2,30
0002409,47,11,021000,1,31
0002421,47,08,033700,1,35
0002421,47,11,000000,2,27
0002421,47,02,,2,06
0002421,47,02,,1,11
0002446,47,09,012400,2,52
0002446,47,11,028800,2,25
0002446,47,09,030800,1,23
0002446,47,00,,1,01
0002473,47,09,032000,1,25
0002473,47,09,005900,2,23
0002518,37,09,000000,1,31
0002518,37,01,,1,06
0002518,37,12,013000,2,27
0002530,47,11,004200,2,20
0002619,37,11,012000,2,29
0002619,37,11,018000,1,30
0002619,37,01,,2,06
0002619,37,00,,1,02
0002619,37,06,000000,1,17
0002656,37,09,010000,2,31
0002656,37,04,,1,13
0002656,37,01,,1,04
0002656,37,00,,2,00
0002656,37,09,016000,1,32
0002795,47,11,009500,2,23
0002795,47,02,,2,06
0002795,47,02,,2,04
0002795,47,12,014000,1,29
0002857,37,01,000000,1,63
0003142,47,11,011000,1,31
0003142,47,11,008000,2,32
0003142,47,00,,1,01
0003142,47,04,,1,14
0003142,47,03,,2,12
0003142,47,02,,2,09
0003308,47,05,000000,2,93
0003461,47,11,000000,1,56
0003461,47,08,000000,2,26
0003461,47,01,,1,03
0003461,47,01,,1,07
0003636,37,09,009000,2,55
0003636,37,09,012500,2,32
0003710,47,09,000000,1,23
0003710,47,06,006000,2,23
0003776,47,15,000000,1,86
0003776,47,15,000000,2,75
0003849,47,08,016000,1,42
0003970,37,09,013800,2,44
0003970,37,11,013700,1,23
0003970,37,07,000000,1,17
0003970,37,04,000000,2,16
0004007,37,05,000900,1,18
0004110,37,09,004000,1,25
0004145,47,13,033000,1,32
0004145,47,13,008100,2,52
0004145,47,11,006600,1,19
0004163,47,03,000000,2,64
0004238,37,06,015000,1,35
0004238,37,09,012000,2,23
0004238,37,02,,1,07
0004248,47,09,060000,1,46
0004248,47,10,000000,2,41
0004248,47,04,,1,14
0004248,47,02,,2,09
0004370,47,07,000000,2,75
0004376,37,13,050000,1,38
0004376,37,11,017000,2,38
0004376,37,07,000600,1,18
0004436,37,13,052000,2,36
0004436,37,02,,2,09
0004436,37,01,,1,06
0004925,37,11,024000,1,44
0004925,37,10,005200,2,45
0004925,37,00,,1,02
0004968,47,13,026000,1,28
0004968,47,09,024000,2,29
0005115,47,12,040000,1,37
0005156,47,03,000000,2,85
0005206,47,10,030700,1,59
0005206,47,09,000000,2,56
0005303,37,05,005200,2,42
0005303,37,02,,1,12
0005303,37,02,,2,10
0005303,37,02,,2,08
0005303,37,02,,1,06
