serial_no,race,education,income,gender,age
0000117,37,13,000000,2,84
0000218,47,09,031000,1,57
0000436,47,13,070000,1,49
0000436,47,11,000000,2,45
0000436,47,03,,1,10
0000436,47,02,,2,04
0000574,48,06,023200,1,42
0000574,47,10,014000,2,40
0000574,47,07,008500,2,17
0000574,47,04,,2,14
0000574,47,02,,2,10
0000584,47,11,017800,1,50
0000591,47,10,000000,1,19
0000740,47,04,000000,2,80
0000764,47,10,044000,2,51
0000764,47,10,026000,1,53
0000764,47,09,013000,1,29
0000764,47,00,,2,00
0000764,47,09,014500,2,24
0000786,47,10,000000,2,75
0001014,47,08,000000,2,75
0001086,47,09,011000,2,30
0001086,47,00,,2,02
0001086,47,09,030000,2,28
0001193,47,14,000150,1,29
0001193,47,11,014600,2,21
0001350,47,09,000000,1,64
0001350,47,08,000000,2,60
0001427,47,09,030500,1,30
0001665,47,13,065000,1,49
0001665,47,11,000000,2,43
0001665,47,10,006000,2,18
0001668,47,06,045000,1,29
0001668,47,10,011800,2,26
0001668,47,01,,1,03
0002046,32,09,012900,2,38
0002046,32,09,000000,2,18
0002046,32,03,,2,12
0002046,32,00,,1,00
0002446,47,11,012000,2,50
0002446,47,06,000000,1,16
0002446,47,03,,2,12
0002473,47,09,030000,1,20
0002518,47,09,000000,1,71
0002619,47,07,000000,1,36
0002619,47,11,062000,2,36
0002619,47,04,,2,13
0002619,47,02,,1,10
0002619,47,02,,2,08
0002619,47,02,,1,06
0002795,47,06,050000,1,60
0002795,47,09,034000,2,58
0002984,47,12,049000,1,38
0002984,47,12,048500,2,43
0003308,47,12,000000,2,65
0003308,47,08,000000,2,46
0003308,32,04,000000,1,16
0003461,11,11,080000,1,46
0003461,11,09,040000,2,42
0003461,11,10,036000,1,20
0003461,11,05,000000,1,15
0003636,47,10,000000,1,67
0003636,47,08,000000,2,62
0003970,47,09,003000,2,22
0004110,47,09,000000,2,81
0004145,47,12,050000,1,42
0004145,47,06,001300,2,17
0004163,47,05,016800,1,53
0004238,47,11,019200,1,59
0004238,47,04,000000,2,15
0004370,37,06,014000,2,27
0004370,37,03,,2,12
0004370,37,02,,2,08
0004370,37,02,,1,07
0004370,37,12,030000,1,36
0004925,01,09,040000,1,40
0004925,01,09,014000,2,40
0004925,47,05,,1,14
0004925,01,00,,1,02
0005206,20,09,020000,1,32
0005206,20,12,002800,1,50
0005420,47,09,015000,1,47
0005675,47,06,032700,1,38
0005675,47,07,024800,2,53
0005688,47,09,012500,2,28
0005688,47,02,,1,07
0005762,47,10,010000,2,31
0005762,01,03,005000,1,33
0005801,47,09,000000,2,71
0005801,47,09,000000,1,71
0005801,47,09,055000,1,47
0005801,47,07,000730,2,17
0005801,47,05,000000,2,15
0005801,47,13,019400,2,45
0006317,47,09,015700,1,65
0006317,47,09,027200,2,49
0006350,47,06,016000,2,37
0006350,47,04,000000,1,15
0006394,37,09,020200,1,31
0006470,47,09,000000,1,51
0006470,47,09,000000,2,46
0006470,47,06,002500,1,27
0006470,47,03,,1,12
0006535,47,13,022000,1,48
0006535,47,11,027000,2,55
0006535,47,11,020000,2,28
0006625,47,11,033300,1,21
0006625,47,07,009000,2,23
0006625,47,01,,2,04
0006673,47,13,066000,1,43
0006874,47,11,044000,1,53
0006874,47,11,024000,2,52
0006874,47,11,012000,2,22
0007038,47,06,000000,2,62
0007118,37,11,035000,2,50
0007118,37,09,000000,2,30
0007118,37,02,,2,08
0007118,37,11,035000,1,28
0007118,37,00,,2,01
0007118,37,06,000000,2,17
0007133,47,04,000000,1,75
0007133,47,04,000000,2,70
0007224,37,08,009400,1,61
0007224,37,08,016200,2,46
0007342,47,13,035000,1,29
0007342,47,13,037000,2,29
0007342,47,00,,2,02
0007390,47,13,322000,1,45
0007390,47,13,000000,2,42
0007390,47,02,,1,08
0007639,47,11,036500,1,63
0007639,47,10,028000,2,56
0007689,47,09,033000,1,49
0007849,47,16,035000,1,31
0007849,47,13,040000,2,34
0007849,47,00,,1,00
0007849,47,00,,1,00
0007882,47,14,022000,1,35
0007882,47,13,008000,2,32
0007882,47,02,,1,10
0007882,47,01,,1,07
0008014,47,10,032000,1,31
0008014,47,10,024000,1,31
0008226,47,11,033000,2,30
0008226,47,02,,2,08
0008226,47,02,,1,06
0008226,47,11,000000,1,29
0008277,47,08,024000,1,21
0008277,47,11,019000,2,27
0008460,47,14,000000,1,66
0008460,47,11,006000,2,63
0008555,47,11,033600,1,33
0008555,47,13,006000,2,31
0008555,47,02,,1,10
0008555,47,00,,1,00
0008741,47,11,085000,2,49
0008741,47,09,044000,1,51
0008741,47,11,018000,1,24
0008741,47,08,006300,1,22
0008886,47,15,060000,1,54
0008886,47,13,000000,2,49
0008886,47,11,000000,1,18
0008886,47,03,,1,11
0008989,47,09,000000,1,67
0008989,47,09,000000,2,64
0009008,47,01,034000,1,38
0009008,01,03,000000,2,27
0009008,47,02,,2,09
0009008,47,02,,2,07
0009008,47,00,,1,00
0009008,47,07,023600,1,22
0009008,01,03,011500,1,60
0009008,01,03,003600,2,50
0009008,01,05,000000,1,17
0009008,01,02,012500,1,32
0009098,47,10,015600,2,67
0009150,47,11,034000,1,51
0009150,47,11,000000,2,49
0009150,47,09,015000,1,21
0009150,47,00,,2,02
0009390,47,09,086000,1,58
0009390,47,09,007200,2,56
0009390,47,07,013600,1,39
0009415,66,10,025800,2,55
0009415,47,09,000000,1,45
0009668,37,13,035000,1,34
0009692,47,13,025000,2,48
0009692,47,13,009500,1,31
0009805,01,09,013000,2,25
0009805,48,02,,2,09
0009805,48,01,,2,03
