serial_no,race,education,income,gender,age
0000046,47,01,000000,2,42
0000117,47,13,085000,1,39
0000127,01,14,065000,1,30
0000127,01,13,000000,2,30
0000141,47,09,019500,1,72
0000141,47,09,030000,2,54
0000141,47,10,003000,1,31
0000195,47,12,002500,1,23
0000218,47,12,095000,1,38
0000218,47,13,000000,2,31
0000218,47,01,,1,03
0000218,47,00,,1,01
0000219,47,11,034700,2,60
0000246,47,12,000000,1,64
0000246,47,13,022700,2,61
0000246,47,13,018100,1,26
0000322,47,08,000000,1,85
0000322,47,04,000000,2,76
0000376,47,13,000000,1,79
0000376,47,11,000000,2,66
0000391,47,09,032000,1,51
0000391,47,15,016000,2,50
0000391,47,10,014000,1,24
0000391,47,07,008000,2,22
0000391,47,12,001300,1,29
0000391,47,02,,2,04
0000410,47,13,000000,2,49
0000410,66,01,,1,05
0000410,47,13,046000,2,48
0000423,47,15,000000,1,68
0000436,47,09,007400,1,31
0000465,47,15,000000,2,45
0000465,47,15,000000,1,50
0000465,47,02,,2,09
0000483,47,07,058000,1,52
0000483,47,12,023200,2,41
0000483,47,04,,2,14
0000486,47,10,050000,1,46
0000486,47,09,030000,2,44
0000486,47,08,005700,2,18
0000574,47,09,000000,1,78
0000574,47,09,000000,2,77
0000584,47,10,000000,2,78
0000591,47,14,000000,1,73
0000591,47,11,000000,2,65
0000591,47,15,000000,1,39
0000591,47,09,000000,2,38
0000602,47,09,013500,2,46
0000602,47,03,031300,1,55
0000602,47,04,,1,14
0000602,47,08,014000,1,22
0000609,47,13,028000,1,41
0000609,47,11,000750,2,37
0000609,47,01,,2,06
0000609,47,00,,2,00
0000718,37,11,000000,2,43
0000718,37,09,000000,2,21
0000718,37,01,,1,04
0000740,47,09,000000,2,50
0000740,47,07,000000,1,28
0000740,47,12,016000,2,22
0000764,37,09,001400,1,40
0000764,37,09,000000,2,29
0000764,37,02,,1,09
0000764,37,02,,2,08
0000764,37,02,,2,06
0000764,37,02,,1,05
0000797,47,11,000000,1,84
0000802,47,14,056000,1,42
0000802,47,13,033500,2,32
0000863,37,09,048000,2,52
0000883,47,14,060000,2,51
0000944,47,12,042000,2,39
0000944,47,07,000000,2,15
0000944,47,04,,2,14
0000968,37,09,001300,2,53
0000968,37,09,033000,1,34
0000988,47,13,085000,1,34
0000988,47,13,070000,2,31
0000988,47,00,,2,01
0000989,48,11,004400,2,19
0001014,47,11,045000,1,45
0001014,47,13,000000,2,39
0001014,47,02,,1,07
0001014,47,00,,1,02
0001033,37,13,046500,1,39
0001033,37,12,010000,2,27
0001070,47,11,000000,2,79
0001086,47,04,000000,2,56
0001086,47,09,006700,2,34
0001102,47,13,120000,1,54
0001102,47,11,082000,2,47
0001150,47,08,000000,2,67
0001150,47,07,020900,2,26
0001184,47,10,015600,1,32
0001184,47,10,016100,2,33
0001184,47,01,,1,03
0001184,47,02,,1,10
0001193,11,13,030000,1,28
0001193,11,14,012000,2,33
0001208,47,11,002000,2,26
0001217,47,08,027000,1,52
0001217,47,09,067000,2,41
0001263,47,12,030000,2,43
0001263,47,13,103000,1,48
0001263,47,03,,1,12
0001263,47,02,,1,08
0001281,37,09,000000,1,35
0001324,47,14,038000,1,46
0001324,47,14,032000,2,37
0001326,47,09,000000,2,81
0001350,47,09,000000,2,70
0001350,47,08,000000,1,79
0001427,11,13,029000,1,48
0001427,11,09,000000,2,41
0001427,11,07,000000,2,16
0001531,47,09,000000,2,89
0001566,47,09,000000,1,37
0001566,47,13,040000,2,36
0001611,47,14,050000,2,39
0001611,47,10,030000,1,38
0001611,47,02,,2,10
0001611,47,02,,2,08
0001623,47,12,070000,1,36
0001623,01,01,,1,09
0001623,01,01,,2,03
0001623,01,04,000000,2,24
0001643,47,13,034000,1,34
0001665,20,14,008600,1,44
0001665,71,11,003600,2,44
0001665,20,03,,1,11
0001665,20,06,000000,1,15
0001668,47,15,000000,1,66
0001668,47,09,000000,2,59
0001809,37,10,022500,2,37
0001809,37,03,,2,11
0001809,37,03,,2,10
0001809,37,02,,2,08
0001809,37,02,,2,03
0001809,37,00,,2,02
0001814,47,09,016500,1,48
0001826,47,09,000000,1,71
0001826,47,09,000000,2,73
0001884,47,11,000000,2,48
0001884,47,07,000000,2,18
0001884,47,05,000000,1,15
0001889,47,13,052000,1,41
0001889,48,13,018000,2,41
0001889,48,04,,1,14
0001906,47,13,022000,2,48
0001923,47,09,060000,1,38
0001923,47,09,000000,2,39
0002046,47,09,000000,1,35
0002046,47,10,000000,2,29
0002046,47,02,,1,05
0002046,47,00,,1,01
0002069,47,12,000000,1,50
0002069,47,13,040000,2,48
0002069,47,07,002100,2,17
0002140,47,08,010100,1,20
0002140,47,06,012400,1,34
0002312,47,11,033000,2,31
0002312,47,03,000000,2,70
0002318,47,11,035000,2,27
0002409,47,09,000000,2,80
0002412,37,07,000000,2,38
