serial_no,race,education,income,gender,age
0000117,47,16,100000,1,57
0000117,47,13,000000,2,52
0000117,47,09,005000,1,21
0000117,47,05,000000,1,16
0000117,47,10,005000,1,19
0000117,47,11,004500,2,70
0000127,37,11,000000,1,42
0000218,47,09,000000,2,43
0000218,01,07,000770,2,42
0000436,01,09,032000,1,47
0000436,01,07,000000,2,47
0000436,01,10,011000,2,23
0000436,01,04,,2,14
0000436,01,00,,1,01
0000584,01,01,000000,1,77
0000584,01,01,000000,2,70
0000591,01,09,020000,1,22
0000740,47,15,000000,1,61
0000740,47,11,000000,2,65
0000764,01,11,016000,1,32
0000764,01,00,,1,01
0000764,01,05,000000,1,15
0000764,01,02,,1,10
0000764,01,02,,1,09
0000764,01,11,013500,2,30
0000786,47,12,030000,1,63
0000786,47,09,000000,2,60
0000786,47,09,018000,1,36
0000786,47,09,008000,1,29
0000802,47,12,020200,2,39
0000802,47,13,030000,1,39
0000802,47,02,,1,07
0000802,47,01,,1,05
0001014,47,12,015000,2,60
0001086,47,01,000000,2,57
0001193,47,09,022000,2,30
0001193,47,02,,2,06
0001350,47,09,000000,1,81
0001350,47,06,000000,2,84
0001427,47,05,000000,1,67
0001427,47,07,000000,2,72
0001665,37,14,030000,1,45
0001665,47,11,030000,2,38
0001665,37,02,,2,07
0001668,32,14,067000,1,48
0001668,71,12,004000,2,33
0001668,32,03,,2,10
0001668,21,02,,2,08
0001668,21,02,,1,05
0002046,32,07,000000,1,60
0002046,32,06,000000,2,52
0002046,32,09,019400,2,34
0002046,32,09,002700,2,31
0002046,32,09,010300,1,30
0002046,32,06,000000,1,18
0002046,32,04,,1,13
0002046,32,01,,1,04
0002046,32,00,,2,02
0002446,47,11,000000,1,36
0002446,47,11,000000,2,34
0002446,47,04,,1,14
0002446,47,03,,2,12
0002518,48,09,000000,2,75
0002518,47,09,027000,2,43
0002619,01,13,035000,1,41
0002619,01,11,010400,2,37
0002619,01,03,,2,12
0002619,01,02,,2,11
0002619,01,02,,1,07
0002984,47,04,000000,1,59
0002984,47,11,008700,2,52
0003142,47,09,000000,2,82
0003308,47,11,000000,2,68
0003461,47,11,000000,2,40
0003461,47,07,000300,1,17
0003461,47,05,,1,14
0003636,47,09,000000,1,63
0003970,47,10,000460,1,26
0004110,47,11,029500,1,40
0004110,47,11,000000,2,37
0004110,47,04,,1,14
0004163,47,09,000000,1,44
0004163,47,09,015300,2,42
0004238,47,04,000000,2,88
0004248,47,10,000000,2,89
0004370,32,09,000000,1,28
0004370,32,12,025000,2,26
0004376,47,11,050000,1,46
0004376,47,07,000000,2,46
0004376,47,07,000900,1,18
0004925,47,14,010400,2,47
0004925,47,06,000000,1,16
0005206,47,11,063000,1,46
0005206,47,13,013600,2,43
0005675,47,09,010200,1,65
0005675,47,09,003100,2,62
0005688,47,11,030000,2,50
0005762,47,12,008100,2,63
0005762,47,12,000000,1,72
0005801,47,11,007500,2,22
0005820,47,09,020000,2,57
0006192,47,01,000000,2,68
0006299,32,09,002700,2,22
0006299,32,00,,2,02
0006299,32,00,,2,01
0006299,32,07,000820,1,20
0006299,32,04,000000,1,16
0006299,32,08,000000,1,21
0006317,47,13,012000,1,28
0006317,66,13,002400,1,30
0006350,47,09,030000,1,83
0006350,47,11,000000,2,81
0006535,47,09,011900,2,30
0006535,47,09,000000,1,53
0006535,47,02,,1,06
0006625,32,04,000000,2,59
0006673,47,11,002000,1,42
0006874,47,09,000000,1,84
0006874,47,07,000000,2,76
0006874,47,09,000000,2,36
0007038,47,10,000000,2,55
0007038,47,13,020000,1,53
0007118,47,13,005500,1,60
0007118,47,13,000000,2,54
0007133,66,13,020000,1,34
0007133,47,11,012000,2,28
0007133,66,01,,2,07
0007133,66,00,,1,02
0007224,47,09,035000,1,43
0007224,47,09,001200,2,39
0007224,47,07,000000,1,15
0007342,32,04,000000,2,92
0007342,32,08,000000,2,65
0007390,32,11,036500,1,41
0007390,32,11,015200,2,19
0007639,01,10,031000,1,26
0007639,01,09,010000,2,25
0007639,01,01,,1,05
0007639,01,01,,1,03
0007639,01,00,,2,01
0007689,47,11,025000,1,30
0007689,47,10,011000,2,29
0007689,47,02,,1,09
0007689,47,02,,2,07
0007849,47,12,009000,1,41
0007882,47,06,000000,1,71
0008014,47,01,000000,1,60
0008014,47,01,000000,2,63
0008014,47,01,000000,1,39
0008014,47,05,000000,1,16
0008014,47,03,,1,13
0008226,01,04,017000,1,53
0008226,01,09,000000,2,52
0008277,47,09,000000,1,71
0008277,47,09,007800,2,56
0008277,47,09,000000,2,29
0008277,47,02,,1,07
0008460,47,07,000000,2,62
0008555,47,09,000000,2,66
0008741,47,11,000000,2,31
0008741,47,02,,1,10
0008741,47,02,,1,07
0008741,47,06,000000,2,57
0008989,01,04,011000,2,28
0008989,01,03,,1,10
0008989,01,02,,1,06
0008989,01,02,,2,05
0008989,01,01,,1,03
0008989,01,02,,2,09
0009008,47,04,000000,1,32
0009008,47,03,000000,2,32
0009008,47,03,,1,14
0009008,47,02,,1,10
0009008,47,02,,2,08
0009008,47,02,,2,05
0009098,47,10,010000,1,54
0009150,01,09,013000,1,35
0009415,47,13,040000,1,37
0009415,47,13,024500,2,35
0009415,47,02,,1,10
0009415,47,02,,2,05
0009692,47,09,000000,1,61
0009692,47,09,004000,2,56
0009801,32,12,000000,1,46
0009801,47,12,030000,2,46
0009801,66,08,009300,2,21
0009805,01,08,002400,1,40
0009805,01,04,,1,13
0009805,01,03,,1,11
0009805,01,02,,2,08
0009822,47,09,016500,1,26
0009822,01,09,015500,2,24
0010071,47,09,000000,2,81
0010278,32,09,000000,1,50
0010278,32,09,005400,2,49
0010278,32,09,010000,2,30
0010278,32,02,,1,06
0010278,32,09,018700,1,33
0010609,47,11,038000,1,36
0010609,47,13,020000,2,35
0010609,47,04,,2,14
0010609,47,06,000000,2,17
0010609,47,05,000000,2,16
0010609,47,04,,1,14
0010640,47,10,000000,2,57
0010890,47,10,000760,2,25
0010890,47,01,,2,06
0010890,47,00,,2,00
0010890,47,09,020500,1,25
0010893,01,09,020000,1,53
0010893,01,13,020000,2,43
0010893,01,09,000000,1,17
0010893,01,02,,1,09
0010900,47,14,040000,1,59
0010900,47,14,040000,2,59
0011068,47,09,000000,1,69
0011068,47,09,000000,2,68
