serial_no,race,education,income,gender,age
0000117,47,11,070000,2,45
0000117,47,07,001200,2,16
0000117,47,04,,1,14
0000117,47,09,004000,2,41
0000127,47,11,000000,2,79
0000134,47,09,000000,1,40
0000134,47,09,000000,2,39
0000134,47,05,004800,1,16
0000134,47,04,,1,14
0000195,47,08,003600,1,49
0000195,47,10,040000,2,52
0000195,47,09,000000,2,34
0000195,47,02,,2,05
0000218,47,09,013500,1,39
0000218,47,09,006500,2,37
0000218,47,02,,1,09
0000410,47,13,040800,2,47
0000436,47,09,020000,1,40
0000436,47,09,014000,2,36
0000436,47,04,,1,14
0000436,47,04,,2,12
0000436,47,02,,2,06
0000574,12,15,097000,1,57
0000574,12,12,000000,2,50
0000574,12,11,003700,1,20
0000584,47,14,010000,2,39
0000584,47,02,,2,09
0000584,47,02,,1,08
0000591,47,13,000000,2,78
0000591,47,13,000000,1,74
0000609,47,14,031000,1,44
0000609,47,16,040000,2,47
0000718,37,11,000000,1,21
0000718,37,11,001000,1,20
0000740,47,11,038000,1,28
0000740,47,11,000000,2,26
0000740,47,02,,2,03
0000740,47,00,,2,00
0000764,47,09,000000,1,45
0000764,47,11,015900,1,21
0000786,47,09,003000,1,58
0000786,47,09,000000,2,57
0000802,01,05,000000,1,31
0000802,47,09,015000,2,39
0000968,47,10,011400,1,23
0000968,47,11,014600,2,22
0001014,70,12,000000,1,51
0001033,47,09,041000,1,64
0001033,47,11,000000,2,63
0001086,20,13,034500,1,33
0001086,47,13,013300,2,28
0001086,62,00,,2,01
0001193,47,09,018600,1,72
0001193,47,07,008000,2,61
0001208,37,11,009500,1,62
0001281,47,06,000200,1,47
0001281,47,09,001400,2,41
0001350,47,10,000000,2,55
0001350,47,10,000000,2,93
0001427,47,09,047000,1,38
0001611,47,12,052000,1,39
0001611,47,10,027000,2,38
0001611,47,02,,2,10
0001665,47,12,000000,1,39
0001665,47,09,039500,2,36
0001665,47,00,,1,02
0001665,47,02,,2,08
0001809,47,13,030000,2,45
0001809,47,11,040000,1,41
0001854,47,14,027800,2,36
0001854,47,14,032000,2,35
0002046,47,13,000000,1,83
0002140,47,13,055000,2,51
0002140,47,14,000000,1,59
0002312,01,16,017000,2,27
0002409,37,10,018300,1,55
0002412,47,06,000000,1,87
0002412,47,13,000000,2,78
0002421,47,13,000000,2,62
0002446,47,11,000000,1,33
0002446,47,08,009000,2,33
0002473,47,11,031400,1,57
0002473,47,08,002600,1,18
0002530,47,11,000000,2,93
0002592,47,13,000000,2,37
0002592,47,01,,1,04
0002619,48,11,000000,1,24
0002623,47,10,000000,1,24
0002644,47,11,013300,1,76
0002644,47,11,000000,2,75
0002656,47,12,022300,1,40
0002795,47,09,020000,2,22
0002795,47,07,012000,1,21
0002857,47,13,030300,1,57
0002857,47,14,037500,2,56
0002894,59,07,019000,1,28
0002894,57,09,022600,2,26
0002984,32,09,001300,2,40
0002984,32,09,000000,1,30
0002984,32,07,000000,2,41
0003132,47,11,082000,1,43
0003132,47,08,000090,2,38
0003132,47,09,005000,2,18
0003132,47,06,000000,1,16
0003132,47,04,000000,1,15
0003132,47,03,,1,12
0003132,47,01,,2,04
0003142,47,12,050000,1,24
0003142,47,12,018000,2,23
0003142,47,00,,1,01
0003308,47,11,128000,2,26
0003308,47,11,038400,1,28
0003308,47,02,,2,03
0003461,47,09,000000,2,93
0003467,47,13,037000,1,30
0003467,47,12,004500,2,26
0003467,47,00,,1,02
0003513,47,09,000000,2,71
0003513,47,09,036000,1,59
0003566,47,11,040700,1,35
0003566,47,09,000000,2,35
0003566,47,03,,1,10
0003566,47,02,,2,08
0003566,47,02,,1,06
0003636,32,10,000000,2,35
0003636,32,02,,2,09
0003636,32,01,,2,06
0003636,32,00,,1,00
0003640,47,11,000000,2,23
0003640,47,02,,1,03
0003640,47,00,,2,00
0003640,47,10,028000,1,22
0003710,47,14,012000,1,55
0003710,47,13,047500,2,48
0003776,47,08,000000,1,70
0003847,47,07,044000,1,46
0003847,47,08,000000,1,24
0003847,47,10,000000,2,23
0003847,48,06,000000,2,22
0003847,47,02,,1,06
0003847,48,02,,2,05
0003847,48,01,,1,04
0003847,47,00,,1,00
0003847,66,06,000200,2,42
0003849,47,13,000000,1,60
0003849,47,13,000000,2,63
0003970,47,13,051000,1,38
0003970,47,11,001700,2,36
0003970,47,02,,1,06
0003970,47,01,,1,04
0003970,47,13,000000,2,65
0004007,47,14,008800,2,42
0004007,47,13,009200,1,43
0004007,47,00,,1,01
0004145,47,09,000000,2,47
0004145,47,09,029700,1,48
0004168,47,09,041700,1,36
0004168,47,06,016700,2,32
0004168,47,02,,2,10
0004168,47,02,,2,09
0004238,47,11,000000,1,64
