serial_no,race,education,income,gender,age
0000117,47,10,000000,2,67
0000127,47,11,008400,1,24
0000127,47,11,000700,1,19
0000218,47,11,073000,1,37
0000218,47,12,004500,2,36
0000218,47,04,,2,13
0000218,47,03,,2,11
0000218,47,01,,1,05
0000436,47,13,033000,1,45
0000436,47,13,040000,2,47
0000436,47,02,,1,06
0000574,47,13,065000,1,37
0000574,47,13,000000,2,33
0000574,47,03,,2,11
0000574,47,02,,1,09
0000574,47,02,,1,07
0000574,47,02,,1,05
0000574,47,00,,1,01
0000574,47,00,,2,00
0000584,47,13,047000,1,37
0000584,47,10,005000,2,41
0000584,47,03,,2,12
0000584,47,02,,1,11
0000591,47,09,000000,1,34
0000591,47,10,000000,2,33
0000591,47,00,,1,00
0000740,47,09,050000,1,45
0000740,47,09,014400,2,46
0000740,47,07,000000,2,17
0000764,47,09,000000,2,78
0000764,47,13,013100,1,31
0000786,47,09,017100,2,65
0000802,47,13,000000,1,51
0000802,47,09,000000,2,48
0001014,47,09,036000,1,50
0001014,47,09,014100,2,52
0001086,47,08,000000,1,70
0001086,47,09,000000,2,63
0001193,47,12,033000,1,55
0001193,47,11,017000,2,53
0001193,47,07,000000,1,17
0001350,37,09,025000,1,58
0001350,37,05,000000,1,16
0001350,37,13,016000,1,47
0001427,67,09,013000,2,28
0001427,71,03,,1,11
0001427,71,03,,2,10
0001427,71,02,,2,08
0001427,71,02,,2,07
0001427,71,02,,2,06
0001427,48,10,010100,1,33
0001665,47,07,021000,1,24
0001665,47,01,,1,05
0001665,47,00,,2,00
0001665,47,09,000000,1,28
0002046,47,10,001300,2,19
0002446,47,12,057000,2,43
0002446,47,09,000000,1,21
0002446,47,09,000000,1,19
0002446,47,04,,1,14
0002473,32,01,000000,1,85
0002473,32,01,000000,2,71
0002518,47,09,000000,1,63
0002518,47,09,000000,2,63
0002619,47,10,030000,1,59
0002619,47,11,015000,2,52
0002984,47,11,032000,1,50
0002984,47,10,000000,2,45
0002984,47,12,013000,1,22
0002984,47,07,002000,1,17
0002984,47,04,,1,14
0003142,47,06,012000,1,22
0003142,47,08,002400,2,23
0003142,47,01,,2,03
0003308,47,14,009100,1,73
0003308,47,15,000050,2,60
0003461,47,11,023000,1,22
0003461,47,10,014300,1,24
0003636,47,03,000000,1,67
0003970,47,13,054000,1,39
0003970,47,11,005400,2,38
0003970,47,04,,1,14
0003970,47,03,,2,12
0003970,47,02,,1,08
0003970,47,01,,2,04
0004110,47,13,060000,1,25
0004110,47,13,000000,2,27
0004110,47,00,,2,02
0004110,47,00,,2,00
0004145,47,13,056000,1,56
0004145,47,13,000000,2,52
0004145,47,05,000000,2,15
0004145,47,03,,1,11
0004145,47,11,026000,2,21
0004238,32,04,000000,2,66
0004238,32,11,000000,1,39
0004238,32,11,000000,2,34
0004248,47,13,023300,1,53
0004248,47,11,000000,2,47
0004370,47,09,000000,1,65
0004370,47,09,000000,2,65
0004376,47,13,015000,1,46
0004376,47,12,019000,2,50
0004376,47,05,000000,2,15
0004925,47,11,030000,2,61
0004968,37,07,038000,1,37
0004968,01,07,000000,2,38
0004968,37,05,000000,2,16
0004968,37,04,,2,13
0005206,47,06,045000,1,51
0005206,47,09,040000,2,54
0005675,47,09,005200,1,63
0005675,47,07,000790,2,61
0005688,47,09,036200,1,50
0005688,47,12,000700,2,47
0005762,47,08,000000,2,76
0005801,47,11,025000,2,52
0005801,47,07,022000,1,66
0005820,47,12,007000,2,35
0005820,47,14,048000,1,35
0005820,47,07,002300,1,18
0005820,47,04,,1,14
0005820,47,03,,2,12
0006192,47,15,056000,1,35
0006192,47,13,000000,2,33
0006192,47,01,,1,03
0006299,47,13,039200,1,47
0006299,47,09,023200,2,45
0006299,47,09,000000,1,21
0006299,47,07,001200,2,18
0006299,47,05,000000,1,15
0006299,47,03,,1,12
0006299,47,03,,1,11
0006317,47,09,025500,1,50
0006317,47,09,000570,2,49
0006350,47,11,033700,1,28
0006350,47,09,004100,2,26
0006350,47,00,,1,01
0006394,47,11,000000,1,73
0006394,47,11,000000,2,63
0006470,47,13,087000,1,39
0006470,47,12,000000,2,39
0006470,47,04,,1,13
0006470,47,02,,1,10
0006470,47,02,,1,08
0006470,47,02,,1,06
0006535,47,15,017000,1,65
0006535,47,11,000000,2,73
0006535,47,11,005600,1,24
0006625,47,13,048000,1,35
0006625,47,09,008300,1,22
0006673,47,07,000300,1,17
0006874,47,09,000000,2,74
0007038,47,12,018000,2,49
0007038,47,09,013000,1,56
0007038,47,07,002000,1,17
0007038,47,05,001400,1,16
0007118,47,16,000000,1,62
0007133,47,14,018000,1,39
0007133,47,10,000000,2,34
0007133,47,02,,1,11
0007133,47,02,,1,09
0007133,47,02,,2,07
0007133,47,01,,1,04
0007133,47,00,,1,02
0007133,47,00,,2,01
0007224,47,03,000000,1,85
0007224,47,06,000000,2,89
0007342,47,10,034600,1,46
0007342,47,09,013700,2,43
0007342,47,09,011200,2,23
0007342,47,09,002400,2,19
0007342,47,00,,1,00
0007390,47,13,009000,1,41
0007390,47,08,000000,2,27
0007390,47,00,,2,02
0007390,47,01,,2,05
0007639,47,13,038000,1,55
0007639,47,12,000000,2,53
0007639,47,11,000000,2,35
0007639,47,13,034000,1,35
0007639,47,11,009200,1,24
0007639,47,02,,1,09
0007639,47,01,,1,05
0007639,47,01,,2,04
0007639,47,00,,1,01
0007639,47,00,,1,00
0007689,47,08,039900,1,37
0007689,47,10,031800,2,37
0007689,47,04,000000,1,15
0007689,47,02,,1,10
0007882,47,12,038000,1,36
0007882,47,09,000000,2,32
0007882,47,01,,1,07
0007882,47,01,,1,05
0007882,47,00,,2,01
0008014,47,09,028000,1,34
0008014,47,09,048000,2,33
0008014,47,02,,2,07
0008014,47,02,,2,03
0008226,47,09,001900,1,68
0008226,47,07,000000,2,65
0008277,47,11,025000,2,28
0008277,47,03,,2,11
0008277,47,02,,1,10
0008277,47,11,044000,1,30
0008460,47,09,000000,1,68
0008460,47,11,000000,2,68
0008555,47,11,023000,2,35
0008555,47,02,,2,11
0008555,47,02,,2,08
0008555,47,06,000000,1,17
0008555,47,06,005000,1,16
0008741,66,09,034600,1,42
0008886,47,09,026000,1,24
0008886,47,09,020000,2,21
0008886,47,00,,1,00
0008989,47,11,006500,1,60
0008989,47,06,016000,1,48
0008989,47,07,004000,2,27
0009008,47,13,004000,1,80
0009008,47,11,010900,2,68
0009098,47,11,000000,1,87
0009150,47,12,069000,1,44
0009150,47,09,005500,2,40
0009150,47,07,001900,2,18
0009150,47,05,000000,2,15
0009415,37,03,000000,2,74
0009668,47,11,030000,1,46
0009668,47,11,015000,2,46
0009668,47,04,,1,13
0009668,47,01,,1,10
0009692,47,09,029000,1,51
0009692,47,09,000000,2,48
0009692,47,11,007400,2,22
0009692,47,07,000000,2,77
0009692,47,01,,1,03
0009801,47,11,004000,1,25
0009805,47,13,120000,1,29
0009805,47,12,021000,2,25
0009822,48,13,058000,1,44
0009822,47,14,023000,2,54
0009822,48,11,003500,2,21
0009822,47,07,007900,1,18
0010071,47,14,000000,2,87
0010278,47,08,000910,2,21
0010278,47,06,016500,1,18
0010278,47,01,,1,03
0010278,47,00,,1,00
0010609,47,13,004500,1,31
0010609,47,13,030000,2,32
0010609,47,00,,1,02
0010640,47,09,000000,1,73
0010640,47,11,000000,2,77
0010890,47,11,040000,1,36
0010890,47,11,000000,2,30
0010890,47,01,,2,07
0010890,47,01,,1,04
0010890,47,00,,1,01
0010900,47,11,040000,1,45
0010900,47,09,006000,2,45
0010900,47,09,000000,2,19
0010900,47,04,,2,14
0010900,47,02,,2,11
0011068,47,11,045000,1,44
0011068,47,09,020000,2,45
0011068,47,05,002000,1,16
0011224,47,11,000000,2,87
0011311,47,11,047000,2,53
0011331,47,09,000000,1,31
0011779,47,10,022900,2,46
0011779,47,06,001500,2,17
0011936,47,06,021000,2,58
0011998,47,03,016000,1,31
0011998,47,03,000000,2,33
0011998,47,03,,1,12
0011998,47,02,,1,10
0011998,47,02,,2,08
0011998,47,02,,2,06
0011998,47,01,,2,05
0012200,01,10,028000,1,33
0012200,01,01,000000,2,34
0012200,01,04,,2,13
0012200,01,03,,1,11
0012200,01,02,,2,07
0012200,01,01,,2,04
0012200,01,01,,1,04
0012218,47,11,025000,1,30
0012218,47,13,013200,2,25
0012276,47,12,000000,1,64
0012276,47,09,036500,2,45
0013374,47,13,000000,1,78
0013374,47,11,000000,2,68
0013426,47,09,000000,2,49
0013426,47,11,008000,1,30
0013426,47,09,009400,2,24
0013426,47,03,000000,2,20
0013426,68,00,,2,02
0013441,47,13,001000,1,60
0013441,47,09,009100,2,56
0013448,47,11,050000,1,56
0013448,47,12,048000,2,56
0013577,47,09,000000,2,85
0013685,47,13,036000,1,36
0013685,47,13,018000,2,30
0013685,47,02,,1,09
0013685,47,01,,1,05
0013685,47,01,,2,03
0013868,47,09,000000,2,52
0014202,47,11,007500,2,53
0014202,47,09,009000,1,58
0014719,47,11,006000,1,22
0014719,47,10,010000,2,20
0014719,47,00,,1,00
0014976,47,11,000000,2,80
0014995,47,14,032000,1,52
0015384,47,12,062000,1,39
0015384,47,12,000000,2,37
0015384,47,06,000000,2,16
0015384,47,04,,2,14
0015384,47,04,,2,14
0015384,47,02,,2,10
0015384,47,00,,1,00
0015394,47,11,000000,1,70
0015394,47,09,000000,2,74
0015405,47,13,070000,1,51
0015405,47,06,000000,2,16
0015445,47,14,050000,1,43
0015445,47,13,031500,2,40
0015445,47,06,001800,1,16
0015445,47,05,000000,2,15
0015445,47,03,,2,11
0015480,47,08,032000,1,46
0015480,47,09,012000,2,35
0015480,47,03,,2,11
0015480,47,02,,2,09
0015480,47,02,,2,06
0016090,57,13,112000,1,42
0016090,57,06,000000,2,16
0016115,01,04,006700,2,40
0016115,01,01,,2,06
0016190,47,11,054000,2,57
0016190,47,11,030100,2,54
0016559,47,04,000000,2,85
0016794,47,10,041300,1,39
0016794,47,11,001100,2,36
0016794,47,07,002000,1,18
0016794,47,04,,2,13
0016794,47,02,,2,09
0016795,47,07,000000,1,78
0016795,47,06,000000,2,73
0017010,47,10,000000,2,29
0017010,47,02,,2,09
0017010,47,02,,1,07
0017010,47,02,,2,06
0017063,47,10,011000,1,22
0017063,47,07,000000,2,21
0017063,47,00,,2,01
0017220,47,11,021000,2,49
0017220,47,14,090000,1,51
0017625,47,06,001300,1,17
0017625,47,04,000000,2,15
0017734,47,11,136000,2,35
0017734,47,02,,2,05
0017734,47,01,,1,04
0017734,47,00,,2,00
0017734,47,11,000000,2,31
0017825,47,14,060000,1,53
0017825,47,13,032000,2,49
0017825,47,09,011000,1,21
0017825,47,08,010000,1,18
0017825,47,04,000000,2,15
0018132,47,09,035000,1,22
0018132,47,12,030000,2,20
0018223,47,07,000000,2,73
0018644,47,14,087000,1,56
0018644,47,10,060000,2,60
0018655,47,07,023000,1,19
0018655,47,09,006400,2,20
0018655,47,00,,1,00
0018757,47,10,003400,2,26
0018772,47,16,100000,1,62
0018772,47,12,000000,2,51
0018772,47,05,000000,2,15
0018783,47,10,023000,1,63
0018783,47,10,015000,2,58
0018848,47,12,007400,1,74
0018848,47,12,000000,2,65
0018848,47,12,013400,1,33
0019021,47,10,023400,2,53
0019021,47,09,006300,2,20
0019700,47,10,015000,1,66
0019700,47,09,000000,2,70
0020032,47,07,031000,1,35
0020032,47,06,000000,2,30
0020032,47,04,,1,14
0020032,47,02,,2,11
0020114,47,09,059000,1,32
0020114,47,09,000000,2,31
0020114,47,02,,1,10
0020114,47,02,,1,09
0020114,47,02,,2,07
0020114,47,02,,1,04
0020114,47,00,,1,01
0020115,47,09,019000,1,32
0020115,37,08,009400,2,26
0020115,47,02,,1,08
0020115,47,02,,1,06
0020115,47,02,,2,04
0020161,47,02,013000,1,47
0020161,47,03,000000,2,17
0020161,47,05,000000,2,15
0020161,47,02,,1,10
0020161,47,02,,1,06
0020161,47,02,012000,1,26
0020161,47,02,008000,1,21
0020602,47,11,014000,1,42
0020602,47,11,031000,2,35
0020602,47,06,040000,1,17
0020602,47,05,000000,2,16
0020602,47,04,000000,2,15
0020602,47,01,,2,03
0020746,47,09,035000,1,56
0020746,47,09,018000,2,52
0020961,47,10,000000,1,75
0020961,47,11,000000,2,77
0020961,47,09,002700,1,34
0020974,47,11,022000,1,54
0020974,47,11,000000,2,52
0020974,47,09,004900,2,19
0020974,47,06,004300,1,16
0020974,47,04,000000,2,15
0020974,47,03,,1,12
0021070,47,09,000000,2,67
0021107,47,12,017300,1,25
0021107,47,12,000000,2,25
0021107,47,00,,2,01
0021123,47,13,003400,1,74
0021123,47,11,000000,2,67
0021273,47,09,000000,2,52
0021273,47,09,077000,2,21
0021321,47,11,044000,1,36
0021321,47,09,009500,2,31
0021321,47,03,,1,11
0021321,47,02,,1,09
0021321,47,02,,1,06
0021321,47,00,,1,02
0021321,47,00,,1,02
0021594,47,09,040000,1,43
0021594,47,09,012000,2,42
0021594,47,06,000000,2,18
0021594,47,07,010000,1,18
0021594,47,02,,1,09
0021594,47,02,,1,06
0021594,47,02,,2,06
0021851,47,09,024000,1,37
0021851,47,09,015000,2,28
0021851,47,04,,2,13
0021851,47,01,,1,05
0021851,47,02,,1,10
0022103,47,12,018400,2,33
0022103,47,09,060000,1,34
0022103,47,03,,1,10
0022103,47,02,,2,09
0022103,47,00,,1,00
0022296,47,11,000000,2,73
0022766,47,13,055000,1,50
0022766,47,13,038000,2,47
0022766,47,07,000000,2,17
0022935,47,11,000000,2,77
0022935,47,11,000000,1,45
0022935,47,09,006200,1,18
0023227,32,10,052000,1,28
0023227,47,09,000000,2,26
0023227,66,02,,1,06
0023227,66,02,,1,06
0023227,66,01,,2,05
0023227,66,00,,1,01
0023227,47,09,000000,2,28
0023227,47,09,033000,1,22
0023227,47,02,,1,09
0023227,47,01,,2,04
0023691,47,11,009800,2,22
0023691,47,10,014400,1,24
0023691,47,00,,1,00
0023712,01,03,034000,1,56
0023712,01,14,021700,2,55
0023728,47,13,077000,1,26
0023728,47,09,007200,2,20
0023735,47,09,053000,1,43
0023735,47,09,012900,2,38
0023735,47,09,002800,2,18
0023735,47,05,,1,14
0023735,47,03,,2,12
0023735,47,02,,1,09
0023735,47,01,,1,04
0023822,47,05,041000,1,45
0023822,47,11,021000,2,41
0023887,47,12,001800,1,52
0023887,47,14,090000,2,51
0023887,47,03,,2,12
0023887,47,02,,2,07
0024247,47,09,040000,1,41
0024247,47,02,,1,10
0024295,47,15,030000,1,70
0024295,47,14,025000,2,33
0024368,47,11,000000,2,76
0024380,47,06,000000,1,74
0025009,47,14,027000,2,33
0025009,47,02,,1,08
0025009,47,02,,1,06
0025146,47,13,000000,1,85
0025146,47,10,000000,2,73
0025225,47,10,000000,2,48
0025225,47,11,002000,2,19
0025225,47,05,000000,1,16
0025225,47,00,,2,01
0025278,47,09,000000,2,40
0025278,47,09,010000,1,21
0025278,47,09,010000,2,20
0025405,47,11,026300,2,29
0025405,47,03,,1,10
0025405,47,02,,2,09
0025405,47,02,,2,08
0025405,47,01,,2,05
0025416,47,09,016400,1,38
0025416,47,07,000000,2,34
0025416,47,00,,1,01
0025465,47,09,010000,2,44
0025465,47,09,009000,1,20
0025465,47,06,004400,2,17
0025465,47,07,003300,2,17
0025465,47,00,,1,00
0025711,47,11,004000,1,21
0025711,20,12,008000,1,28
0025711,47,11,006800,1,22
0025711,47,11,006600,1,22
0025814,47,06,004000,2,57
0025962,47,09,000000,1,65
0025962,47,09,000000,2,63
0026183,47,11,000000,1,65
0026183,47,11,000000,2,71
0026324,47,09,007500,2,25
0026483,47,09,021000,2,60
0026500,47,11,000000,1,58
0026500,47,10,000000,2,55
0026622,47,11,044000,1,49
0026622,47,10,005000,2,48
0026622,47,10,015800,1,26
0026622,47,09,012400,1,22
0026622,47,02,,2,10
0026719,47,09,000000,2,83
0026777,47,10,001600,2,19
0026826,47,13,069000,1,53
0026826,47,13,029000,2,53
0026826,47,11,000000,1,21
0026916,47,11,002500,1,42
0027069,32,10,000000,1,25
0027069,32,10,000000,2,25
0027069,32,02,,2,05
0027069,32,02,,1,04
0027069,32,01,,2,03
0027069,32,00,,2,02
0027265,47,09,032000,1,36
0027265,47,10,007000,2,31
0027265,47,01,,2,08
0027265,47,01,,1,08
0027265,47,03,,2,12
0027265,47,02,,2,10
0027265,47,01,,1,08
0027367,47,13,024000,2,36
0027367,47,14,000000,1,39
0027458,47,09,029000,1,23
0027458,47,09,027000,2,22
0027458,47,00,,1,02
0027458,47,00,,1,00
0027528,47,14,010000,2,41
0027528,47,07,004300,1,17
0027528,47,04,,1,14
0027528,47,02,,2,07
0027949,47,11,000000,1,24
0027949,47,13,028000,2,24
0028321,47,11,085000,1,32
0028321,47,12,000000,2,30
0028321,47,02,,1,09
0028321,47,02,,1,06
0028321,47,01,,1,03
0028509,47,14,100000,1,53
0028509,47,14,072000,2,43
0029069,01,05,036000,1,29
0029069,01,09,014900,2,27
0029069,01,02,,1,06
0029069,01,00,,1,01
0029077,47,13,024000,1,44
0029219,47,10,000000,2,44
0029226,47,11,027000,1,37
0029243,47,13,036000,1,31
0029243,47,13,025000,2,31
0029243,47,00,,1,00
0029299,47,13,173000,1,42
0029299,47,02,,1,11
0029299,47,00,,1,02
0029299,47,15,000000,1,42
0029366,47,11,052000,1,50
0029366,47,09,000000,2,49
0029366,47,11,010700,1,23
0029366,47,10,004200,2,19
0029504,47,14,001000,1,52
0029504,47,10,000000,2,52
0029504,47,11,044000,1,23
0029504,47,09,000000,1,21
0029504,47,03,,2,13
0029732,47,10,027000,1,42
0029732,47,11,013000,2,39
0029732,47,05,000000,1,16
0030106,47,11,033700,1,34
0030106,47,12,000000,2,33
0030106,47,02,,1,11
0030106,47,01,,2,09
0030106,47,01,,2,07
0030106,47,01,,1,06
0030106,47,01,,1,03
0030106,47,00,,2,01
0030106,47,00,,2,00
0030138,47,09,052000,1,40
0030166,47,11,023000,2,52
0030166,47,02,,2,10
0030241,47,08,000000,2,28
0030241,47,03,,1,12
0030241,47,10,022400,1,42
0030290,47,11,000000,1,72
0030290,47,07,000000,2,66
0030451,47,12,019000,2,41
0030451,47,09,058000,1,42
0030451,47,06,000050,1,16
0030451,47,04,,2,13
0030582,47,11,041000,1,43
0030582,47,10,018000,2,42
0030582,47,09,016000,1,25
0030582,47,06,004000,1,17
0030582,47,04,,2,14
0030582,47,03,,1,12
0030582,47,02,,2,07
0030582,47,09,000000,2,25
0030610,47,09,000000,2,78
0031150,47,10,034000,1,64
0031150,47,07,000000,2,61
0031284,01,09,027000,1,35
0031477,47,12,013500,2,21
0031477,47,12,017000,1,24
0031477,47,13,000000,1,27
0031477,47,13,000000,2,28
0031477,47,02,,1,04
0031477,47,00,,2,02
0031502,47,09,040000,1,26
0031502,47,09,070000,2,33
0031502,48,00,,1,01
0031502,47,04,,1,12
0031529,47,11,032000,1,33
0031529,47,09,003300,2,31
0031529,47,02,,1,09
0031529,47,02,,1,08
0031529,47,02,,1,03
0031529,47,00,,1,00
0031662,47,09,000000,1,44
0032194,47,11,033000,1,62
0032194,47,11,000000,2,62
0032194,47,11,000000,1,19
0032278,47,09,006000,2,40
0032278,47,06,000000,1,15
0032278,47,02,,2,09
0032348,47,10,034000,1,42
0032348,47,12,001300,2,43
0032348,47,10,001100,2,17
0032348,47,05,000000,1,15
0032348,47,03,,1,11
0032348,47,01,,2,05
0032366,47,09,000000,2,76
0032500,48,08,002200,1,23
0032500,47,01,000000,1,15
0032500,48,01,006600,1,20
0032500,47,01,000000,1,23
0032500,47,01,000000,1,22
0032943,57,14,065000,1,39
0032943,47,11,002700,2,41
0032943,47,01,,1,04
0032943,47,00,,1,01
0033079,47,06,000000,2,16
0033217,47,11,041000,2,49
0033217,47,09,003000,2,18
0033238,47,14,049200,1,41
0033238,47,10,000000,2,39
0033238,47,10,003900,1,18
0033238,47,05,000000,2,16
0033238,47,04,,2,13
0033238,47,02,,2,10
0033563,47,10,018200,1,71
0033563,47,06,000000,2,68
0033569,47,13,000000,1,53
0033569,47,12,000000,2,49
0033569,47,05,000000,1,16
0033569,47,03,,1,12
0033569,47,02,,2,06
0033718,47,09,000000,1,76
0033718,47,04,000000,2,71
0033739,47,09,100000,1,45
0033739,47,09,000000,2,48
0034042,47,08,000000,1,61
0034129,47,10,000000,1,75
0034129,47,08,000000,2,68
0034315,47,12,028800,1,37
0034315,47,02,,2,11
0034315,47,02,,1,08
0034315,47,02,,2,08
0034446,47,16,050000,2,55
0034789,47,09,000000,2,78
0034860,47,11,038000,2,50
0034860,47,11,003600,2,30
0034860,47,01,,2,03
0034860,47,00,,1,01
0034860,47,12,042000,1,35
0034899,47,12,042200,1,38
0034934,47,09,044000,1,33
0035006,47,11,000000,2,88
0035029,47,13,043000,1,42
0035029,47,11,014000,2,40
0035029,47,07,012000,1,17
0035029,47,04,,2,14
0035029,47,03,,2,12
0035053,47,10,000000,2,34
0035053,47,09,000000,1,36
0035053,47,00,,1,02
0035053,47,03,,2,10
0035080,47,09,000000,1,43
0035080,47,09,002000,2,37
0035080,47,07,006300,2,17
0035080,47,05,000000,2,15
