serial_no,race,education,income,gender,age
0000117,47,09,018500,1,45
0000117,47,09,002900,2,36
0000117,47,04,,2,13
0000117,47,03,,1,11
0000117,47,02,,1,06
0000127,47,09,000000,1,39
0000127,47,09,000000,2,37
0000127,47,02,,2,08
0000127,47,01,,2,05
0000127,47,00,,1,02
0000134,36,14,022000,2,57
0000134,36,09,000000,1,56
0000195,47,06,000000,2,72
0000218,47,13,000000,1,76
0000246,47,12,000000,2,59
0000246,47,14,006000,1,61
0000376,47,13,040000,1,37
0000410,20,14,039200,2,43
0000410,20,12,000000,1,46
0000410,20,04,,2,14
0000436,47,09,000000,2,80
0000483,47,11,042000,2,51
0000483,47,12,000000,1,44
0000486,47,09,000000,1,64
0000574,47,09,000000,2,86
0000584,47,12,014400,2,26
0000584,47,13,049000,1,29
0000591,47,07,021800,1,51
0000609,47,09,024000,2,49
0000718,47,15,007700,1,63
0000718,47,09,000000,2,57
0000764,47,09,052000,1,43
0000764,47,01,,1,04
0000764,47,09,015000,2,34
0000786,47,09,009100,1,40
0000786,47,09,009100,2,41
0000786,47,09,008700,2,20
0000786,47,09,013300,1,19
0000786,47,03,,1,12
0000802,47,09,051000,1,33
0000802,47,09,032000,2,34
0000802,47,02,,2,07
0000802,47,02,,1,06
0000802,47,01,,2,03
0000863,47,06,000000,2,44
0000863,47,09,053000,1,41
0000968,47,15,005000,1,50
0001086,47,09,000000,2,72
0001102,47,06,000000,2,74
0001193,47,14,030000,1,51
0001193,47,11,030000,2,32
0001193,47,02,,1,07
0001193,47,02,,1,04
0001208,47,09,020200,1,27
0001208,47,12,028000,2,52
0001208,47,11,055000,1,52
0001281,47,09,000000,2,76
0001350,47,11,016800,1,28
0001350,47,11,022600,2,28
0001427,47,13,039300,1,31
0001427,47,11,019200,2,26
0001427,47,00,,1,00
0001611,47,09,000000,1,80
0001611,47,09,000000,2,70
0001643,47,09,065000,1,30
0001643,47,10,000000,2,28
0001643,47,02,,2,05
0001643,47,00,,2,01
0001668,47,12,000000,2,40
0001809,47,05,000000,1,66
0001809,47,09,001500,2,64
0001814,47,09,000000,1,83
0001814,47,04,000000,2,75
0001854,47,13,000000,1,41
0001889,47,10,030000,1,38
0001889,47,13,000000,2,32
0001889,47,01,,2,05
0001889,47,00,,1,02
0001906,47,09,000000,2,79
0002069,47,09,110000,1,42
0002069,47,09,013000,2,36
0002069,47,09,010000,1,18
0002069,47,04,000000,1,15
0002140,47,09,000000,2,52
0002312,47,13,030000,1,53
0002312,47,13,024000,2,50
0002312,47,07,001000,1,18
0002409,47,13,003000,2,50
0002409,47,14,047000,1,48
0002412,47,14,046000,2,48
0002412,47,14,054000,1,49
0002421,47,14,084000,1,52
0002446,47,09,040000,1,24
0002446,47,09,040000,1,22
0002473,47,09,032000,1,35
0002473,47,10,040000,2,33
0002473,47,04,,1,14
0002502,47,09,038100,2,37
